Song,Movie,Link,id
If I Didn't Have You,"Monsters, Inc. (Original Motion Picture Soundtrack)",https://api.spotify.com/v1/tracks/7xf3S6Bv8hDqOtevZou602,7xf3S6Bv8hDqOtevZou602
Nemo Egg (Main Title),Finding Nemo (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/7jSQaXLzpLHjSQTev2krvT,7jSQaXLzpLHjSQTev2krvT
The Incredits,The Incredibles (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3M7GXKcmP9WzW8zoOeTSTJ,3M7GXKcmP9WzW8zoOeTSTJ
"Life is a Highway - From ""Cars""/Soundtrack Version",Life Is A Highway,https://api.spotify.com/v1/tracks/5Qe0ZZzG24zLx7vfWQilVu,5Qe0ZZzG24zLx7vfWQilVu
Le Festin,Ratatouille (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/02JIdsrod3BYucThfUFDUX,02JIdsrod3BYucThfUFDUX
Put on Your Sunday Clothes,"Hello, Dolly! (Original Broadway Cast Recording)",https://api.spotify.com/v1/tracks/7zLa17CxufBeFTseV6XJWD,7zLa17CxufBeFTseV6XJWD
We Belong Together,Toy Story 3 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/2m1mYan1nvOMORlb12q2Y9,2m1mYan1nvOMORlb12q2Y9
"You Might Think - From ""Cars 2""/Soundtrack Version",Cars 2 (Original Soundtrack),https://api.spotify.com/v1/tracks/5tKlIgkTo8QZBVLGkyhEso,5tKlIgkTo8QZBVLGkyhEso
"Touch The Sky - From ""Brave""/Soundtrack",Brave,https://api.spotify.com/v1/tracks/5yyqx4brn6Bm9U1Rj9ENnz,5yyqx4brn6Bm9U1Rj9ENnz
"Main Title - From ""Monsters University""/Score",Monsters University,https://api.spotify.com/v1/tracks/6cNNZBkIrUo7Ar9ibtRfpv,6cNNZBkIrUo7Ar9ibtRfpv
Bundle of Joy,Inside Out (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3eTgg18rKBD30Hef1gv0wz,3eTgg18rKBD30Hef1gv0wz
"Homestead - From ""The Good Dinosaur"" Score",The Good Dinosaur (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/5coYD44PLsyEe42PrIul2D,5coYD44PLsyEe42PrIul2D
Finding Dory (Main Title),Finding Dory (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/354K3xQPgALQEOiIYzAMat,354K3xQPgALQEOiIYzAMat
Run That Race,Cars 3 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/2NVjII4zi5d4c9F7ivNYsh,2NVjII4zi5d4c9F7ivNYsh
Remember Me (Ernesto de la Cruz),Coco (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/4ljlAxfaEjO4Q4g9FMtVj4,4ljlAxfaEjO4Q4g9FMtVj4
Incredits 2,Incredibles 2 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0dnojq1BIyNqa89hFEqBvM,0dnojq1BIyNqa89hFEqBvM
I Can't Let You Throw Yourself Away,Toy Story 4 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/7tSODhfDkv0JEhkSMYSIBS,7tSODhfDkv0JEhkSMYSIBS
Carried Me With You,Onward (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0HL3y3bsKSARBSP0qaImwb,0HL3y3bsKSARBSP0qaImwb
Colors of the Wind,Pocahontas Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/1O841LULHXexH8W7fqtctA,1O841LULHXexH8W7fqtctA
Can You Feel the Love Tonight,The Lion King: Special Edition Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/5YpvrutERg6imRT3shYhtz,5YpvrutERg6imRT3shYhtz
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",The Lion King,https://api.spotify.com/v1/tracks/0qxtQ8rf3W1nId3D2r0xH4,0qxtQ8rf3W1nId3D2r0xH4
"Hakuna Matata - From ""The Lion King""/Soundtrack",The Lion King,https://api.spotify.com/v1/tracks/5k3U0OGYBccHdKJJu3HrUN,5k3U0OGYBccHdKJJu3HrUN
Prince Ali (Reprise),Aladdin (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/5BEItY9of9nR4zj51JO0jU,5BEItY9of9nR4zj51JO0jU
Ev'rybody Wants to Be a Cat,Songs From The Aristocats,https://api.spotify.com/v1/tracks/2dAOKHKapOngJv8sMI8GGZ,2dAOKHKapOngJv8sMI8GGZ
"Under the Sea - From ""The Little Mermaid"" / Soundtrack Version",The Little Mermaid,https://api.spotify.com/v1/tracks/4qqfI5oNO53a6W7nWfutKH,4qqfI5oNO53a6W7nWfutKH
"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",The Little Mermaid,https://api.spotify.com/v1/tracks/6CDiKAFgbWXlwQTU59GKYT,6CDiKAFgbWXlwQTU59GKYT
"For the First Time in Forever - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/70b5Sq3ePOu3Gqg0hjlOtR,70b5Sq3ePOu3Gqg0hjlOtR
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/3IPnBzGRMg6BfViFxxa0Gq,3IPnBzGRMg6BfViFxxa0Gq
"Fixer Upper - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/5covTs92HnHJwAWrXF7l14,5covTs92HnHJwAWrXF7l14
"In Summer - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://api.spotify.com/v1/tracks/7bG6SQBGZthPDG5QJL5Gf7,7bG6SQBGZthPDG5QJL5Gf7
The Lion Sleeps Tonight (Wimoweh),Wimoweh!!! - The Best Of The Tokens,https://api.spotify.com/v1/tracks/2F4FNcz68howQWD4zaGJSi,2F4FNcz68howQWD4zaGJSi
"Circle of Life - From ""The Lion King""/ Soundtrack",The Lion King,https://api.spotify.com/v1/tracks/0HU5JnVaKNTWf6GykV9Zn8,0HU5JnVaKNTWf6GykV9Zn8
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack",Mulan,https://api.spotify.com/v1/tracks/3wjgPeXocinhLyPL37p70e,3wjgPeXocinhLyPL37p70e
"Belle - From ""Beauty and the Beast""/Soundtrack Version",Beauty and the Beast,https://api.spotify.com/v1/tracks/0Q4a3PdGEME9w8Jgqa0Gf3,0Q4a3PdGEME9w8Jgqa0Gf3
"An Unusual Prince / Once Upon A Dream - From ""Sleeping Beauty""/Soundtrack Version",Sleeping Beauty,https://api.spotify.com/v1/tracks/5WKxcFnCO244tMnVElhFuk,5WKxcFnCO244tMnVElhFuk
"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",Toy Story,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,2stkLJ0JNcXkIRDNF3ld6c
"Main Title (Bella Notte)/The Wag of a Dog's Tail - From ""Lady and the Tramp""/Soundtrack Version",Lady and the Tramp,https://api.spotify.com/v1/tracks/3GQVrowpcnIFN2yStc1DGl,3GQVrowpcnIFN2yStc1DGl
"Beauty and the Beast - From ""Beauty and the Beast""/Soundtrack Version",Beauty And The Beast (Soundtrack),https://api.spotify.com/v1/tracks/3jfxeTcEfcH8wNMnGNh7U1,3jfxeTcEfcH8wNMnGNh7U1
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",Mulan,https://api.spotify.com/v1/tracks/28UMEtwyUUy5u0UWOVHwiI,28UMEtwyUUy5u0UWOVHwiI
"Honor To Us All - From ""Mulan""/Soundtrack",Mulan,https://api.spotify.com/v1/tracks/78EMhiyAcalWWtnpk20Eoo,78EMhiyAcalWWtnpk20Eoo
The Gospel Truth I / Main Titles - Hercules,Hercules (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0I8mZRtlFGOqZayJbEAdxL,0I8mZRtlFGOqZayJbEAdxL
Zero To Hero,Hercules (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/4InER8nvZnn3nt56anVVNO,4InER8nvZnn3nt56anVVNO
I Won't Say (I'm In Love),Hercules (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/03wwl6PnZyltRjeMkxWzUQ,03wwl6PnZyltRjeMkxWzUQ
A Star Is Born,Hercules (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/6FWfjQDaC1PyKoKo2s5MN5,6FWfjQDaC1PyKoKo2s5MN5
The Mad Tea Party / The Unbirthday Song / Twinkle Twinkle / Clean Cup Move Down / Mad Watch,Alice In Wonderland (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0uDuqVAWCOYEH4qM3vWe1g,0uDuqVAWCOYEH4qM3vWe1g
Painting the Roses Red / March of the Cards,Alice In Wonderland (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/16PvHcfDesVGunaBdhK0nn,16PvHcfDesVGunaBdhK0nn
The Queen of Hearts / Who's Been Painting My Roses Red?,Alice In Wonderland (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3CD5lcPCsHt0DEJDF1OnWy,3CD5lcPCsHt0DEJDF1OnWy
I Wan'na Be Like You (The Monkey Song),The Jungle Book,https://api.spotify.com/v1/tracks/2EeVPGHq2I7fjeDfT6LEYX,2EeVPGHq2I7fjeDfT6LEYX
The Bare Necessities (Reprise),The Jungle Book,https://api.spotify.com/v1/tracks/1mlZOeDDhMDc8HPtUWnydb,1mlZOeDDhMDc8HPtUWnydb
"Just Around the Riverbend - From ""Pocahontas"" / Soundtrack Version",Pocahontas,https://api.spotify.com/v1/tracks/6P316E7tFylzpVrDrXVF9s,6P316E7tFylzpVrDrXVF9s
The Silly Song (The Dwarfs' Yodel Song) - Soundtrack,Snow White and the Seven Dwarfs,https://api.spotify.com/v1/tracks/6ekLvZHwq18PNqv3fdVZUx,6ekLvZHwq18PNqv3fdVZUx
"Where Did I Put That Thing / Bibbidi-Bobbidi-Boo (The Magic Song) - From ""Cinderella"" / Soundtrack Version",Cinderella Special Edition,https://api.spotify.com/v1/tracks/0rzqBHKWkrZZ7R0e2y3abc,0rzqBHKWkrZZ7R0e2y3abc
When You Wish Upon a Star,Pinocchio,https://api.spotify.com/v1/tracks/1WrPa4lrIddctGWAIYYfP9,1WrPa4lrIddctGWAIYYfP9
He Mele No Lilo,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/45cku3eLTd5hObrNM8q8PA,45cku3eLTd5hObrNM8q8PA
Hawaiian Roller Coaster Ride,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/6pO5svQbrKKLZS08tIiEUA,6pO5svQbrKKLZS08tIiEUA
Stuck on You,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/6TtAKCXZnO9azXjRr2QBCv,6TtAKCXZnO9azXjRr2QBCv
Burning Love,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/0bGLPI0gkeKBtG8mXEdq3I,0bGLPI0gkeKBtG8mXEdq3I
Heartbreak Hotel,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/1MQkl1kww9PZFHZJ4wZxYU,1MQkl1kww9PZFHZJ4wZxYU
(You're The) Devil in Disguise,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/7yIhT9QcbGw3pnyPiviRZj,7yIhT9QcbGw3pnyPiviRZj
Hound Dog,Lilo And Stitch Original Soundtrack,https://api.spotify.com/v1/tracks/2c2j9lIHo6xpMkwXnax8rh,2c2j9lIHo6xpMkwXnax8rh
After Ever After,After Ever After,https://api.spotify.com/v1/tracks/1NA60PDKDksqpzHgBGauTs,1NA60PDKDksqpzHgBGauTs
A Whole New World,Disney's Greatest Love Songs,https://api.spotify.com/v1/tracks/70CfpUBJFtHJLd7COACT9B,70CfpUBJFtHJLd7COACT9B
Life is a Highway,Cars Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/02SjT88MukDOa9KuuRuODY,02SjT88MukDOa9KuuRuODY
"Once Upon a December (From The ""Anastasia"" Soundtrack)",The Essential Liz Callaway,https://api.spotify.com/v1/tracks/15NNe4V26FOiwagrNb4lbS,15NNe4V26FOiwagrNb4lbS
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",The Little Mermaid,https://api.spotify.com/v1/tracks/3DCPtZ7iVrX5P1AMeuBCvb,3DCPtZ7iVrX5P1AMeuBCvb
"When Will My Life Begin - From ""Tangled"" / Soundtrack Version",Disney Princesses,https://api.spotify.com/v1/tracks/6BWxp0YynQdUGMRXMNMf0P,6BWxp0YynQdUGMRXMNMf0P
A Dream Is a Wish Your Heart Makes,Cinderella,https://api.spotify.com/v1/tracks/62tzqFhKNeYD36zbKVSGut,62tzqFhKNeYD36zbKVSGut
"Gaston - From ""Beauty and the Beast""",ICON: Disney Villains,https://api.spotify.com/v1/tracks/08UQJ9VYu6xkiyGPmuxgaz,08UQJ9VYu6xkiyGPmuxgaz
"I've Got a Dream - From ""Tangled""/Soundtrack Version",Tangled,https://api.spotify.com/v1/tracks/0TCt7OFRdD8PQ6vTRQxNgQ,0TCt7OFRdD8PQ6vTRQxNgQ
"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",Little Mermaid (Special Edition),https://api.spotify.com/v1/tracks/7zsw78LtXUD7JfEwH64HK2,7zsw78LtXUD7JfEwH64HK2
"Bibbidi-Bobbidi-Boo - From ""Cinderella""",Songs and Story: Cinderella,https://api.spotify.com/v1/tracks/23Ypb2SLgeY2OQxfXHPKLN,23Ypb2SLgeY2OQxfXHPKLN
"Mine, Mine, Mine - From ""Pocahontas""/Soundtrack Version",Pocahontas,https://api.spotify.com/v1/tracks/41uJggpcL0qwQasVkKV50y,41uJggpcL0qwQasVkKV50y
"Mother Knows Best - From ""Tangled""/Soundtrack Version",Tangled,https://api.spotify.com/v1/tracks/1lOSxJNCLvWm2bYaTcTSmK,1lOSxJNCLvWm2bYaTcTSmK
Bella Notte - Soundtrack,Dear Heart,https://api.spotify.com/v1/tracks/4vePE79zJShD1QIedYcEgn,4vePE79zJShD1QIedYcEgn
"Be Prepared - From ""The Lion King""",ICON: Disney Villains,https://api.spotify.com/v1/tracks/4vksWgM7iJ6YiSBR4tYEna,4vksWgM7iJ6YiSBR4tYEna
The Bells of Notre Dame,The Hunchback of Notre Dame Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/7jZcWttgE7HF35YeB9dzq8,7jZcWttgE7HF35YeB9dzq8
"Oo-De-Lally - From ""Robin Hood""","Oo-De-Lally (From ""Robin Hood"")",https://api.spotify.com/v1/tracks/0mWXrr6HQZUhCQG4JMkT2e,0mWXrr6HQZUhCQG4JMkT2e
"Winnie the Pooh - From ""Winnie the Pooh and the Honey Tree""",Songs and Story: Winnie the Pooh and the Honey Tree,https://api.spotify.com/v1/tracks/7dAhz8AzHFI4qPiv2zF7Xi,7dAhz8AzHFI4qPiv2zF7Xi
"On My Way - From ""Brother Bear""/Soundtrack Version",Brother Bear,https://api.spotify.com/v1/tracks/7wjiMdiSgsL9Vkrwb10Num,7wjiMdiSgsL9Vkrwb10Num
"Cruella De Vil - From ""101 Dalmatians""",ICON: Disney Villains,https://api.spotify.com/v1/tracks/5zsxGFF5HmZQQ3VjYE4bqQ,5zsxGFF5HmZQQ3VjYE4bqQ
"The Siamese Cat Song - From ""Lady and the Tramp""",Disney's Greatest Vol. 3,https://api.spotify.com/v1/tracks/3yPiLKV0BT3FQJD97iacxz,3yPiLKV0BT3FQJD97iacxz
Into the Unknown,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/3Z0oQ8r78OUaHvGPiDBR3W,3Z0oQ8r78OUaHvGPiDBR3W
In the Dark of the Night,In the Dark of the Night,https://api.spotify.com/v1/tracks/2RWwM0YABuLFKdFnmLja3V,2RWwM0YABuLFKdFnmLja3V
"Something There - From ""Beauty and the Beast""/Soundtrack Version",Beauty and the Beast,https://api.spotify.com/v1/tracks/6mDxu0xwhv5tn1oMTNUypu,6mDxu0xwhv5tn1oMTNUypu
Following The Leader,Classic Soundtracks: Peter Pan (1953 Film Score),https://api.spotify.com/v1/tracks/1tvvUJUGzMmprWDmpozXB2,1tvvUJUGzMmprWDmpozXB2
"Hi-Diddle-Dee-Dee (An Actor's Life for Me) - From ""Pinocchio""",Disney Villains Songbook,https://api.spotify.com/v1/tracks/3A28rlXHmzU2PEUWODACJk,3A28rlXHmzU2PEUWODACJk
"Little Dressmakers / The Work Song / Scavenger Hunt /A Dream Is A Wish Your Heart Makes / The Dress / My Beads / Escape To The Garden - From ""Cinderella"" / Soundtrack Version",Cinderella,https://api.spotify.com/v1/tracks/0Y38lCwhaSU63nPDh5qUd6,0Y38lCwhaSU63nPDh5qUd6
Evermore,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/4t90YkTzNWjis7HM2NqQLQ,4t90YkTzNWjis7HM2NqQLQ
Dig a Little Deeper,The Princess and the Frog (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/7kh64k3P9Fk4EsA6vOdwmj,7kh64k3P9Fk4EsA6vOdwmj
Down in New Orleans (Finale),The Princess and the Frog (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1fvc8FP8MUrIbHGYb4kF89,1fvc8FP8MUrIbHGYb4kF89
Ma Belle Evangeline,The Princess and the Frog (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/5d22scOOfbrK7GHy3ZTT3s,5d22scOOfbrK7GHy3ZTT3s
Remember Me (Dúo),Coco (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3pCgIUkmRHKydu9HE03QKY,3pCgIUkmRHKydu9HE03QKY
Hakuna Matata,The Lion King (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1ymvyDsiAUbzEhmSkfCSYh,1ymvyDsiAUbzEhmSkfCSYh
Can You Feel the Love Tonight,The Lion King (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1zSKtBze2IReYU44W0lDzd,1zSKtBze2IReYU44W0lDzd
Un Poco Loco,Coco (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0OFknyqxmSQ42SoKxWVTok,0OFknyqxmSQ42SoKxWVTok
"A Whole New World (End Title) - From ""Aladdin""","A Whole New World (End Title) [From ""Aladdin""]",https://api.spotify.com/v1/tracks/1iWHabUgUuuKLBa0TzTHfk,1iWHabUgUuuKLBa0TzTHfk
Take You To Rio,Rio: Music From The Motion Picture (International Version),https://api.spotify.com/v1/tracks/1t4IebjNC1omqvxCoGKlep,1t4IebjNC1omqvxCoGKlep
Find Yourself,Cars Original Soundtrack (English Version),https://api.spotify.com/v1/tracks/6YpU93CdpOUWGThYgcC7jp,6YpU93CdpOUWGThYgcC7jp
Everything Is Awesome!!!,The LEGO® Movie (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/65DU3ad0BY3N1TNn58ofmK,65DU3ad0BY3N1TNn58ofmK
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/6U4VqEHy4n5VeiH4pQPL24,6U4VqEHy4n5VeiH4pQPL24
"How Far I'll Go - From ""Moana""","How Far I'll Go (From ""Moana"")",https://api.spotify.com/v1/tracks/5EbX5xL3O2xT8FxCpYzgUO,5EbX5xL3O2xT8FxCpYzgUO
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Tangled,https://api.spotify.com/v1/tracks/03xWMkKEbeO4SnylA53ipj,03xWMkKEbeO4SnylA53ipj
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",Disney's Greatest Volume 1,https://api.spotify.com/v1/tracks/3Dupb5AcaVFErlSSfl3szW,3Dupb5AcaVFErlSSfl3szW
We Know The Way,Moana (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/6YH2r9NyEJTjlRmKOCvxgJ,6YH2r9NyEJTjlRmKOCvxgJ
"Almost There - From ""The Princess and the Frog"" / Soundtrack Version",The Princess and the Frog,https://api.spotify.com/v1/tracks/2dlxN435ZY9ruxGYND2Hq0,2dlxN435ZY9ruxGYND2Hq0
"I See the Light - From ""Tangled"" / Soundtrack Version",Tangled,https://api.spotify.com/v1/tracks/6klpXs2uAjagnZMFkt4qkl,6klpXs2uAjagnZMFkt4qkl
You've Got a Friend in Me,You've Got a Friend in Me,https://api.spotify.com/v1/tracks/5yCPyI7CWSb6RzLupHLnnn,5yCPyI7CWSb6RzLupHLnnn
You'll Be In My Heart,Tarzan Original Soundtrack,https://api.spotify.com/v1/tracks/6LBfozDVA7crIeuaPAVVlE,6LBfozDVA7crIeuaPAVVlE
Son of Man,Tarzan Original Soundtrack,https://api.spotify.com/v1/tracks/1m1lMBFsQmFHNEceXYHL0K,1m1lMBFsQmFHNEceXYHL0K
Evermore,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/3Idj4PFLLcQVqHGA1Ydytm,3Idj4PFLLcQVqHGA1Ydytm
Beauty and the Beast,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/2puvHN4yqIuespGSmjq95T,2puvHN4yqIuespGSmjq95T
Be Our Guest,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),https://api.spotify.com/v1/tracks/54GzAEHI6jB08MQmbOHq3b,54GzAEHI6jB08MQmbOHq3b
Try Everything,Zootopia (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/1N3dZ7TTWO6VcD4Y3hHYLZ,1N3dZ7TTWO6VcD4Y3hHYLZ
"Reflection - From ""Mulan"" / Soundtrack Version",Disney's Greatest Volume 1,https://api.spotify.com/v1/tracks/4ASPjY65S7crmZBHML0L8d,4ASPjY65S7crmZBHML0L8d
"When We're Human - From ""The Princess and the Frog""/Soundtrack Version",The Princess and the Frog,https://api.spotify.com/v1/tracks/0II9l1sI3Mo9XKaszKfizl,0II9l1sI3Mo9XKaszKfizl
"Life Is A Highway - From ""Cars""/Soundtrack Version",Cars (Versión de Colección),https://api.spotify.com/v1/tracks/1QezVl06xBzPfgJ2HXST5d,1QezVl06xBzPfgJ2HXST5d
"On My Way - From ""Brother Bear""",Disney Greatest Hits,https://api.spotify.com/v1/tracks/3afixBbbvXpUIPkUvuTwV5,3afixBbbvXpUIPkUvuTwV5
"Let It Go - From ""Frozen / Single Version",Frozen (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/0bTnB8YDYijhQbSWwpQYDU,0bTnB8YDYijhQbSWwpQYDU
Immortals,Big Hero 6 (Original Motion Picture Soundtrack),https://api.spotify.com/v1/tracks/3c1ItvzDDDpmDgLH9SIUp4,3c1ItvzDDDpmDgLH9SIUp4
"Faith - From ""Sing"" Original Motion Picture Soundtrack",Sing (Original Motion Picture Soundtrack / Deluxe),https://api.spotify.com/v1/tracks/1Ol9VB4eBkSuM9sghD4lgP,1Ol9VB4eBkSuM9sghD4lgP
